criterion,splitter,max_features,max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,min_impurity_decrease,ccp_alpha,fitness_score,generation
entropy,best,,25,7,7,12,0.0,0.006622244444769476,0.787914901999409,25
entropy,best,,25,7,6,7,0.01650370174372224,0.006622244444769476,0.8089727174234216,25
entropy,random,,25,7,8,12,0.01650370174372224,0.04482561160851965,0.772441642864178,25
entropy,best,,26,7,8,8,0.01650370174372224,0.006622244444769476,0.8061755146262188,25
gini,best,,25,7,7,12,0.01650370174372224,0.0,0.7907613513247316,25
entropy,best,,25,7,7,14,0.03986187956519395,0.006622244444769476,0.7907613513247316,25
entropy,best,,24,7,7,12,0.09206009453716357,0.006622244444769476,0.779434649857185,25
gini,best,,25,7,7,12,0.01650370174372224,0.006622244444769476,0.7907613513247316,26
gini,best,,24,7,7,14,0.0,0.006622244444769476,0.7976952624839948,26
gini,best,,25,7,7,12,0.0,0.006622244444769476,0.7976952624839948,26
entropy,best,sqrt,25,7,7,12,0.01650370174372224,0.034218442197562225,0.7148823007977938,26
entropy,best,,25,7,7,13,0.01650370174372224,0.01074953121613139,0.8089727174234216,26
entropy,best,,25,7,8,12,0.01650370174372224,0.006622244444769476,0.8061755146262188,26
entropy,best,sqrt,26,6,7,12,0.01650370174372224,0.0255237689929669,0.7176992022062445,26
entropy,best,,26,7,7,13,0.01650370174372224,0.01074953121613139,0.8089727174234216,27
entropy,best,,25,6,6,12,0.01650370174372224,0.006622244444769476,0.8089727174234216,27
gini,best,,25,7,7,13,0.01650370174372224,0.01074953121613139,0.7907613513247316,27
gini,best,,25,7,8,12,0.01650370174372224,0.006622244444769476,0.7907613513247316,27
entropy,best,log2,25,7,8,12,0.01650370174372224,0.006622244444769476,0.7401654683344824,27
entropy,best,,25,6,7,10,0.01650370174372224,0.01074953121613139,0.8089727174234216,27
gini,best,,25,7,7,12,0.060161490875695674,0.04152746224396613,0.779434649857185,28
entropy,best,,25,6,7,10,0.01650370174372224,0.006622244444769476,0.8089727174234216,28
entropy,best,,25,6,8,12,0.01650370174372224,0.006622244444769476,0.8061755146262188,28
entropy,best,,25,7,7,14,0.01650370174372224,0.01074953121613139,0.8089727174234216,28
entropy,best,,25,6,7,12,0.01650370174372224,0.005937869309441658,0.8089727174234216,28
entropy,best,,24,7,7,6,0.01650370174372224,0.01074953121613139,0.8117896188318724,28
entropy,best,,25,6,7,12,0.01650370174372224,0.04187644972303831,0.7907613513247316,28
entropy,random,,25,5,8,13,0.01650370174372224,0.005937869309441658,0.7963656062247612,29
entropy,best,,24,8,7,8,0.01650370174372224,0.029462803339267964,0.7949867034374076,29
entropy,best,,24,7,8,12,0.01650370174372224,0.005937869309441658,0.8061755146262188,29
entropy,best,,25,6,7,6,0.015284809659963483,0.01074953121613139,0.8117896188318724,29
entropy,best,,25,6,7,8,0.01650370174372224,0.005937869309441658,0.8089727174234216,29
entropy,best,,24,7,7,8,0.01650370174372224,0.01074953121613139,0.8089727174234216,29
gini,best,,24,7,7,9,0.01650370174372224,0.0,0.7907613513247316,29
